,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order,Address
916,2010-01-09,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Bathing,M,Unknown,N,06h45,Other,5180,"Quy Nhon, Binh Dinh Province, VIETNAM"
917,2010-01-06,Unprovoked,USA,Florida,Elliot Key,Spearfishing,M,32,N,10h15,Other,5179,"Elliot Key, Florida, USA"
918,2010-01-05,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,Unknown,N,Unknown,Other,5178,"Nahoon, East London, Eastern Province, SOUTH AFRICA"
919,2009-12-29,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,M,20,N,08h30,Other,5177,"Port Alfred, Eastern Cape  Province, SOUTH AFRICA"
920,2009-12-26,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,55,N,11h00,Other,5176,"Avoca Beach, New South Wales, AUSTRALIA"
921,2009-12-22,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,M,27,N,16h30,Other,5175,"Ponta do Ouro, Maputo Province, MOZAMBIQUE"
922,2009-12-20,Boat,AUSTRALIA,Queensland,Mudjimba Island,Kayaking,M,Unknown,N,11h00,Other,5174,"Mudjimba Island, Queensland, AUSTRALIA"
923,2009-12-20,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,18,N,07h30,Bull,5173,"Lamont Reef, Queensland, AUSTRALIA"
924,2009-12-18,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,M,22,Y,14h30,Other,5172,"Second Beach, Port St. Johns, Eastern Cape Province, SOUTH AFRICA"
925,2009-12-18,Invalid,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Surfing,M,Unknown,N,Unknown,Other,5171,"North Beach, Durban, KwaZulu-Natal, SOUTH AFRICA"
926,2009-12-16,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming to shore from capsized kayak,M,24,Y,Unknown,Great White,5170,"Clark Island, South Island, NEW ZEALAND"
927,2009-12-13,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,39,N,07h00,Other,5169,"Coffee Head, New South Wales, AUSTRALIA"
928,2009-12-12,Boat,AUSTRALIA,New South Wales,Hawks Nest Beach,Rowing,Unknown,Unknown,N,07h30,Great White,5168,"Hawks Nest Beach, New South Wales, AUSTRALIA"
929,2009-12-05,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",Diving,M,58,N,13h00,Other,5167,"Adventure Aquarium, Camden, New Jersey, USA"
930,2009-11-25,Invalid,USA,California,"Huntington Beach, Orange County",Surfing,M,49,N,15h30,Other,5166,"Huntington Beach, Orange County, California, USA"
931,2009-11-24,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,M,10,N,Unknown,Other,5165,"Lori Wilson Park, Cocoa Beach, Brevard County, Florida, USA"
932,2009-11-16,Unprovoked,USA,California,"Loch Lomond, Marin County",Fishing,M,31,N,16h45,Other,5164,"Loch Lomond, Marin County, California, USA"
933,2009-11-16,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,22,N,09h30,Other,5163,"Jupiter, Palm Beach County, Florida, USA"
934,2009-11-13,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,F,27,N,16h30,Other,5162,"Jupiter, Palm Beach County, Florida, USA"
935,2009-11-11,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N,Unknown,Other,5161,"New Smyrna Beach, Volusia County, Florida, USA"
936,2009-11-08,Unprovoked,AUSTRALIA,South Australia,Second Valley,Kayaking,M,25,N,10h30,Other,5160,"Second Valley, South Australia, AUSTRALIA"
937,2009-11-05,Unprovoked,USA,California,"Davenport, Santa Cruz County",Surfing,M,21,N,Unknown,Other,5159,"Davenport, Santa Cruz County, California, USA"
938,2009-10-30,Unprovoked,AUSTRALIA,Victoria,Portland,Kayaking,M,27,N,Unknown,Great White,5158,"Portland, Victoria, AUSTRALIA"
939,2009-10-29,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,M,Unknown,N,Unknown,Other,5157,"Off Vilanculo, Inhambane Province, MOZAMBIQUE"
