,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order
201,2015-10-28,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10,N,14h50,Other,5894
202,2015-10-25,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,42,N,15h00,"White shark, 3 to 3.5m ",5893
203,2015-10-21,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,N,14h30,5' shark,5892
204,2015-10-19,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21,N,13h50,"Spinner shark, 5'",5891
205,2015-10-17,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,Y,Unknown,Other,5890
206,2015-10-17,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,32,N,19h20,No shark involvement,5889
207,2015-10-17,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,N,11h30,"Tiger shark, 7'",5888
208,2015-10-13,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,M,-1,N,11h00,Hammerhead sp.,5887
209,2015-10-09,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,N,16h20,Other,5886
210,2015-10-09,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,N,10h25,"Tiger shark, 13' ",5885
211,2015-10-08,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,-1,N,Unknown,Other,5884
212,2015-10-07,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,18,N,16h50,Other,5883
213,2015-10-05,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,N,13h00,Other,5882
214,2015-10-05,Unprovoked,USA,Texas,Galveston,Wading,M,13,N,10h00,4' to 5' shark,5881
215,2015-10-04,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N,08h30,"Blacktip shark, 4' to 5'",5880
216,2015-09-29,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,N,16h20,"Blacktip shark, 5' to 6'",5879
217,2015-09-26,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,N,Unknown,Other,5878
218,2015-09-24,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,-1,N,10h45,"White shark, 19'",5877
219,2015-09-20,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N,16h45,juvenile shark,5876
220,2015-09-20,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,N,15h52,"Tiger shark, 13'",5875
221,2015-09-20,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,N,12h30,4' shark,5874
222,2015-09-20,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,N,07h30,Other,5873
223,2015-09-18,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,-1,N,19h00,Other,5872
224,2015-09-17,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,N,15h00,Other,5871
225,2015-09-08,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,N,06h15,6' shark,5870
226,2015-09-06,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,N,17h30,"White shark, 11' to 12'",5869
227,2015-09-05,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,29,N,14h40,Hammerhead shark.,5868
228,2015-09-04,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,62,N,11h30,"White shark, 2.5 m",5867
229,2015-09-03,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,M,-1,N,16h00,4' shark?,5866
230,2015-09-01,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,37,N,08h30,small shark,5865
231,2020-09-15,Unprovoked,FIJI,Other,Other,Spearfishing,M,-1,N,Unknown,Tiger shark,5864
232,2015-08-29,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,N,10h25,"White shark, 11' to 12'",5863
233,2015-08-29,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,N,10h00,"White shark, 10' to 12' ",5862
234,2015-08-22,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",Unknown,M,-1,N,19h45,Shark involvement not confirmed,5861
235,2015-08-22,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,38,N,17h10,Other,5860
236,2015-08-20,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,N,12h30,4' shark,5859
237,2015-08-19,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,N,15h30,3' shark,5858
238,2015-08-18,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,22,N,07h30,"White shark, 13'",5857
239,2015-08-18,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,10,N,11h00,Shark involvement not confirmed,5856
240,2015-08-10,Provoked,USA,California,Cortes Bank,Spearfishing,M,57,N,08h00,Hammerhead shark. 6' to 7',5855
241,2015-07-31,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,N,06h00,White shark,5854
242,2015-07-27,Unknown,AUSTRALIA,Victoria,Tyrendarra Beach,Surfing,M,40,Unknown,Unknown,Other,5853
243,2015-07-26,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,N,19h00,"Blacktip or spinner shark, 4'",5852
244,2015-07-26,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,N,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",5851
245,2015-07-25,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,Y,10h00,"White shark, 3.9 to 4.2 m",5850
246,2015-07-23,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31,N,Unknown,"Mako shark, 100-lb",5849
